City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luderitz,NA,-26.6481,15.1594,57.18,75,66,14.72,broken clouds
1,Constitucion,CL,-35.3333,-72.4167,56.17,63,0,11.32,clear sky
2,Hithadhoo,MV,-0.6,73.0833,82.22,73,45,7.27,scattered clouds
3,Airai,TL,-8.9266,125.4092,56.75,58,93,2.1,overcast clouds
4,Hobart,AU,-42.8794,147.3294,41.27,85,2,5.75,clear sky
5,San Quintin,MX,30.4833,-115.95,79.72,62,35,13.31,scattered clouds
6,Busselton,AU,-33.65,115.3333,50.41,82,23,4.34,few clouds
7,Nabire,ID,-3.3667,135.4833,74.39,90,29,3.18,scattered clouds
8,Barrow,US,71.2906,-156.7887,44.62,93,100,12.66,light rain
9,Tuktoyaktuk,CA,69.4541,-133.0374,45.43,83,100,25.72,light rain
10,Kahului,US,20.8947,-156.47,82.98,66,40,21.85,scattered clouds
11,Kruisfontein,ZA,-34.0033,24.7314,55.89,91,97,4.81,overcast clouds
12,Vaini,TO,-21.2,-175.2,77.16,94,20,10.36,few clouds
13,Yellowknife,CA,62.456,-114.3525,65.93,55,100,13.67,overcast clouds
14,Sorong,ID,-0.8833,131.25,77.58,85,51,4.36,broken clouds
15,Dingle,PH,10.9995,122.6711,75.52,89,97,1.43,overcast clouds
16,Les Cayes,HT,18.2,-73.75,85.86,68,60,7.31,broken clouds
17,Korla,CN,41.7597,86.1469,88.9,24,34,13.56,scattered clouds
18,Hambantota,LK,6.1241,81.1185,77.34,94,20,5.75,few clouds
19,Victoria,HK,22.2855,114.1577,83.32,88,100,13.0,overcast clouds
20,Leningradskiy,RU,69.3833,178.4167,42.64,91,89,3.47,overcast clouds
21,Ushuaia,AR,-54.8,-68.3,46.02,70,0,2.3,clear sky
22,Avarua,CK,-21.2078,-159.775,73.45,73,1,4.61,clear sky
23,Atuona,PF,-9.8,-139.0333,77.43,77,8,23.11,clear sky
24,Naze,JP,28.3667,129.4833,81.52,77,100,3.62,overcast clouds
25,Severo-Kurilsk,RU,50.6789,156.125,54.37,95,57,10.22,broken clouds
26,Antofagasta,CL,-23.65,-70.4,60.08,66,29,5.97,scattered clouds
27,Richards Bay,ZA,-28.783,32.0377,66.51,87,3,4.47,clear sky
28,Port Alfred,ZA,-33.5906,26.891,60.64,84,100,6.76,overcast clouds
29,Port Elizabeth,ZA,-33.918,25.5701,59.31,92,0,5.99,clear sky
30,Karsun,RU,54.1994,46.9827,65.03,87,51,4.99,broken clouds
31,Clyde River,CA,70.4692,-68.5914,43.63,68,100,4.38,overcast clouds
32,Punta Arenas,CL,-53.15,-70.9167,46.51,71,0,11.5,clear sky
33,Ukiah,US,39.1502,-123.2078,75.15,46,0,0.0,clear sky
34,Berlevag,NO,70.8578,29.0864,60.75,82,75,11.5,broken clouds
35,San Pedro,PH,14.35,121.0167,80.35,89,75,2.3,light rain
36,Vardo,NO,70.3705,31.1107,57.18,94,75,12.66,broken clouds
37,Canon City,US,38.441,-105.2424,89.02,30,0,6.91,clear sky
38,Olinda,BR,-8.0089,-34.8553,80.33,65,20,10.36,few clouds
39,Rawson,AR,-43.3002,-65.1023,56.84,40,100,5.91,overcast clouds
40,Brae,GB,60.3964,-1.353,57.07,96,100,18.97,light rain
41,Puerto Ayora,EC,-0.7393,-90.3518,80.56,79,88,10.0,overcast clouds
42,Torbay,CA,47.6666,-52.7314,59.58,85,100,17.0,overcast clouds
43,Mandalgovi,MN,45.7625,106.2708,67.64,60,15,7.27,few clouds
44,Iskateley,RU,67.6803,53.1512,56.08,67,77,8.25,broken clouds
45,Kapaa,US,22.0752,-159.319,81.12,81,75,14.97,broken clouds
46,Mataura,NZ,-46.1927,168.8643,36.05,94,88,2.15,overcast clouds
47,Lebu,CL,-37.6167,-73.65,52.12,72,0,4.68,clear sky
48,Saint-Leu,RE,-21.15,55.2833,67.32,66,25,6.4,scattered clouds
49,Klaksvik,FO,62.2266,-6.589,54.52,83,5,24.43,clear sky
50,Valparaiso,CL,-33.0393,-71.6273,62.83,86,40,10.36,scattered clouds
51,Harper,LR,4.375,-7.7169,75.65,79,100,9.91,overcast clouds
52,San Cristobal,VE,7.7669,-72.225,80.78,92,100,4.12,overcast clouds
53,Bluff,NZ,-46.6,168.3333,42.03,68,100,7.72,overcast clouds
54,Ponta Do Sol,PT,32.6667,-17.1,75.13,74,40,6.49,scattered clouds
55,Hermanus,ZA,-34.4187,19.2345,55.8,88,100,9.08,overcast clouds
56,Funtua,NG,11.5233,7.3081,76.01,77,100,10.36,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,62.49,76,19,2.89,few clouds
58,Tadine,NC,-21.55,167.8833,66.07,62,0,17.45,clear sky
59,Jumla,NP,29.2747,82.1838,63.54,97,100,2.21,overcast clouds
60,Honiara,SB,-9.4333,159.95,75.97,86,84,4.05,broken clouds
61,Saint George,US,37.1041,-113.5841,94.78,37,0,3.0,clear sky
62,Necochea,AR,-38.5473,-58.7368,55.08,59,100,14.5,overcast clouds
63,Albany,US,42.6001,-73.9662,78.67,64,25,5.06,scattered clouds
64,Yumen,CN,40.2833,97.2,79.57,50,5,16.17,clear sky
65,Chernyshevskiy,RU,63.0128,112.4714,50.32,92,69,3.06,broken clouds
66,Georgetown,MY,5.4112,100.3354,81.9,85,20,0.0,few clouds
67,Provideniya,RU,64.3833,-173.3,50.81,88,100,6.08,overcast clouds
68,Dale,US,38.1689,-86.99,82.71,74,75,6.91,broken clouds
69,Inuvik,CA,68.3499,-133.7218,51.64,54,100,11.16,overcast clouds
70,Quatre Cocos,MU,-20.2078,57.7625,69.91,71,96,21.21,light rain
71,Juneau,US,58.3019,-134.4197,57.22,95,100,1.45,overcast clouds
72,Cidreira,BR,-30.1811,-50.2056,61.47,66,10,10.13,clear sky
73,Bathsheba,BB,13.2167,-59.5167,88.41,66,40,11.5,scattered clouds
74,Khatanga,RU,71.9667,102.5,45.48,65,100,13.53,overcast clouds
75,Qaanaaq,GL,77.484,-69.3632,38.43,63,65,2.24,broken clouds
76,Chokurdakh,RU,70.6333,147.9167,54.66,66,20,8.57,few clouds
77,Tahlequah,US,35.9154,-94.97,91.62,35,0,3.44,clear sky
78,Itarema,BR,-2.9248,-39.9167,81.41,67,3,18.41,clear sky
79,Nsanje,MW,-16.92,35.262,71.87,53,0,5.21,clear sky
80,Kaeo,NZ,-35.1,173.7833,49.32,93,95,7.52,overcast clouds
81,Tiksi,RU,71.6872,128.8694,47.77,92,19,5.03,few clouds
82,Bambous Virieux,MU,-20.3428,57.7575,70.05,52,40,18.41,light rain
83,Sept-Iles,CA,50.2001,-66.3821,67.05,75,1,5.01,clear sky
84,Broken Hill,AU,-31.95,141.4333,51.55,71,100,21.61,overcast clouds
85,Kodiak,US,57.79,-152.4072,56.71,88,100,0.0,overcast clouds
86,Norman Wells,CA,65.282,-126.8329,49.75,77,100,9.08,overcast clouds
87,Chifeng,CN,42.2683,118.9636,65.82,67,100,1.77,overcast clouds
88,Kuleshovka,RU,47.078,39.5579,84.94,28,0,8.84,clear sky
